Year,Month,BAJFINANCE.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,SBIN.NS,TATAMOTORS.NS,TCS.NS,RELIANCE.NS_Return,TCS.NS_Return,HDFCBANK.NS_Return,INFY.NS_Return,ICICIBANK.NS_Return,BAJFINANCE.NS_Return,HINDUNILVR.NS_Return,ITC.NS_Return,TATAMOTORS.NS_Return,SBIN.NS_Return
2015,January,393.1272277832031,498.29742431640625,798.9303588867188,298.44476318359375,412.1077880859375,183.49420166015625,191.43829345703125,280.90875244140625,575.133056640625,1025.3148193359375,,,,,,,,,,
2015,February,398.6156921386719,487.4974670410156,760.035400390625,277.3873291015625,435.9368896484375,196.01593017578125,178.9511260986328,272.68017578125,565.30419921875,1099.794921875,-0.06522815855126296,0.07264120359374182,-0.021673716837301793,0.05782249753923807,-0.07055722424949162,0.013961038482166455,-0.04868379085042218,0.06824045883921759,-0.017089710473756736,-0.029292703017050448
2015,March,398.7467041015625,473.02056884765625,748.3841552734375,261.0460510253906,426.8169250488281,162.23468017578125,172.7703399658203,242.81175231933594,540.7813720703125,1055.01611328125,-0.034538961936488866,-0.04071559861124674,-0.02969635571899565,-0.020920378192733846,-0.058911407846566344,0.0003286673492146619,-0.015329871623347091,-0.17233930920668528,-0.04337987791763798,-0.10953646841519993
2015,April,392.5206298828125,457.3410949707031,728.50830078125,273.9949645996094,373.694580078125,160.49208068847656,180.3734588623047,245.26669311523438,504.9076232910156,1017.7349853515625,0.04400708419042609,-0.03533702230740143,-0.03314755194504648,-0.1244616645992328,0.04960394353163111,-0.015614108291573947,-0.026558358233714108,-0.010741226755072275,-0.06633687961913115,0.010110469416940715
2015,May,409.2384033203125,485.90179443359375,736.3902587890625,262.49407958984375,389.2599182128906,162.85699462890625,185.74888610839844,256.0969543457031,478.4825744628906,1078.2938232421875,0.029801653081328983,0.059503543419710425,0.06244944916817552,0.04165256593101119,-0.041974804269019894,0.04259081476173909,0.010819311186104352,0.014735393361994698,-0.052336402956020156,0.044157080983598274
2015,June,528.3107299804688,493.5796813964844,793.6318969726562,259.2230529785156,384.5270080566406,160.04649353027344,211.82151794433594,241.9179229736328,431.294921875,1063.5732421875,0.14036494313469072,-0.013651734561945239,0.015801314279648926,-0.012158740046956273,-0.012461334809681146,0.290960783968649,0.07773274768425553,-0.017257478593639464,-0.09861937530506726,-0.05536587269573756
2015,July,536.7494506835938,518.0264892578125,797.9173583984375,254.50987243652344,420.73944091796875,165.5565643310547,212.1921844482422,248.63909912109375,381.32574462890625,1049.0626220703125,0.001749900140002092,-0.013643273017420854,0.04952960744283641,0.09417396464384131,-0.01818194982212029,0.01597302538874601,0.0053998099649577025,0.03442793827744195,-0.11585848734053972,0.027782878030882863
2015,August,489.01824951171875,478.78936767578125,745.3231201171875,233.88986206054688,427.51702880859375,165.12490844726562,181.27992248535156,227.73890686035156,337.9131164550781,1071.3326416015625,-0.14568049263110694,0.021228493955203875,-0.07574346562517897,0.016108753379140417,-0.08101850894259255,-0.08892640898110926,-0.06591439292261547,-0.0026073015318552883,-0.11384657024947498,-0.08405834936911205
2015,September,499.73614501953125,498.0585021972656,705.3687744140625,227.53555297851562,453.9046630859375,166.97854614257812,182.63543701171875,218.3476104736328,296.6363525390625,1081.3603515625,0.007477466383386755,0.009360034009555429,0.04024553555778354,0.06172300165652089,-0.027167954292889873,0.021917168773382567,-0.05360674400767673,0.011225669783820003,-0.12215200270718973,-0.041237118927937244
2015,October,508.60845947265625,512.4111938476562,698.94921875,233.13238525390625,447.63201904296875,169.94940185546875,200.7231903076172,218.2555389404297,382.4184875488281,1044.836669921875,0.09903747920912975,-0.03377568040833978,0.028817280675003776,-0.013819298529174073,0.024597616513666765,0.01775399786777121,-0.009100992129110197,0.017791840817406035,0.28918281348699293,-0.00042167410489812873
2015,November,539.6419677734375,502.2291564941406,708.8574829101562,230.22877502441406,428.88616943359375,175.78958129882812,204.83209228515625,228.93585205078125,420.7149658203125,993.8971557617188,0.020470489589379248,-0.04875356658755581,-0.019870833181959813,-0.041877812157971595,-0.012454769963983536,0.06101650045883611,0.014175942821534449,0.034364224761003204,0.10014285270817247,0.04893490063162442
2015,December,585.3132934570312,504.2795104980469,753.1608276367188,219.96083068847656,435.7853088378906,166.47068786621094,214.89263916015625,206.654541015625,388.7267150878906,1020.403076171875,0.04911606752028996,0.02666867518082605,0.004082506914212081,0.016086178328875045,-0.044598874901057295,0.08463264240183843,0.06249965020426784,-0.05301163677485421,-0.07603307068017173,-0.09732556450011132
